,gdd,pmm,tmax,tmean,tmin,ndvi,ndwi,reci,elevation,exposure,slope
2020-03-22,3.0514283,0.5240816,18.79458,12.797966,7.3100734,0.2003069967031479,-0.06284479796886444,0.5023745894432068,234.68951,117.24225,13.417278
2020-04-03,0.41857144,0.0,19.729502,10.133245,1.1062945,,,,234.68951,117.24225,13.417278
2020-04-15,2.89,0.0,21.229456,12.031464,4.5474825,,,,234.68951,117.24225,13.417278
2020-04-27,7.9414287,0.0001581517,22.5109,17.25463,13.374471,,,,234.68951,117.24225,13.417278
2020-05-09,9.821428,0.0,27.441988,19.986624,12.198226,,,,234.68951,117.24225,13.417278
2020-05-21,10.548571,0.0,30.820303,21.397818,10.279671,,,,234.68951,117.24225,13.417278
2020-06-02,12.5,0.0,31.73092,21.582047,13.269343,0.45876917243003845,-0.3032451570034027,1.7247177362442017,234.68951,117.24225,13.417278
2020-06-14,10.441428,1.8176317,24.982927,19.708006,15.898035,,,,234.68951,117.24225,13.417278
2020-06-26,14.007142,1.7807102,29.151045,22.256987,18.865757,,,,234.68951,117.24225,13.417278
2020-07-08,12.874285,0.0,29.210009,22.389969,16.538797,0.41353321075439453,-0.26562151312828064,1.4227524995803833,234.68951,117.24225,13.417278
2020-07-20,14.678572,0.0,32.85068,24.945189,16.508192,,,,234.68951,117.24225,13.417278
2020-08-01,18.04143,2.7534168,36.5975,26.348846,19.48393,,,,234.68951,117.24225,13.417278
2020-08-13,15.778571,2.1030138,31.86137,24.334671,19.696854,,,,234.68951,117.24225,13.417278
2020-08-25,11.125714,0.0,28.524963,20.557318,13.729268,,,,234.68951,117.24225,13.417278
2020-09-06,10.791429,0.39938444,25.139761,20.465786,16.444637,,,,234.68951,117.24225,13.417278
2020-09-18,10.654286,0.0,27.37625,20.257864,13.932778,,,,234.68951,117.24225,13.417278
2020-09-30,4.015714,0.0,21.655561,13.068525,6.377297,0.4642661511898041,-0.2672218382358551,1.7428452968597412,234.68951,117.24225,13.417278
2020-10-12,0.77000004,5.007285e-06,16.813389,10.538665,4.7248044,,,,234.68951,117.24225,13.417278
