,gdd,pmm,tmax,tmean,tmin,elevation,exposure,slope,ndvi,ndwi,reci
2020-01-01,0.0,0.0,9.328818,3.3695118,-1.7164048,234.68951,117.24225,13.417278,,,
2020-01-02,0.0,0.0,6.614949,2.269915,-3.0927389,234.68951,117.24225,13.417278,,,
2020-01-03,0.0,0.0,5.0420213,0.87928575,-0.5799655,234.68951,117.24225,13.417278,,,
2020-01-04,0.0,0.0,12.151003,3.95282,-0.99676335,234.68951,117.24225,13.417278,,,
2020-01-05,0.0,0.0,13.538313,8.293383,0.6195342,234.68951,117.24225,13.417278,,,
2020-01-06,0.0,0.0,6.331946,1.350332,-3.6109176,234.68951,117.24225,13.417278,,,
2020-01-07,0.0,0.0,7.467572,1.30645,-3.0109715,234.68951,117.24225,13.417278,,,
2020-01-08,0.0,0.0,8.287176,2.539812,-1.0515331,234.68951,117.24225,13.417278,,,
2020-01-09,0.0,0.0,8.536503,1.4689683,-1.3955023,234.68951,117.24225,13.417278,,,
2020-01-10,0.0,0.0,6.646054,1.177064,-2.0199838,234.68951,117.24225,13.417278,,,
2020-01-11,0.0,0.0,8.904874,0.7117146,-1.3507802,234.68951,117.24225,13.417278,,,
2020-01-12,0.0,0.0,6.657768,-0.18477614,-4.9746375,234.68951,117.24225,13.417278,,,
2020-01-13,0.0,0.0,5.6625066,-0.7607226,-4.467458,234.68951,117.24225,13.417278,,,
2020-01-14,0.0,0.0,5.121802,-1.6439747,-5.6874824,234.68951,117.24225,13.417278,,,
2020-01-15,0.0,0.0,5.8730087,0.24991675,-4.4114876,234.68951,117.24225,13.417278,,,
2020-01-16,0.0,0.0,7.3865705,0.99593586,-4.25004,234.68951,117.24225,13.417278,,,
2020-01-17,0.0,0.0,7.0237074,2.1546502,-3.2474935,234.68951,117.24225,13.417278,,,
2020-01-18,0.0,0.060551826,9.371902,4.2586536,0.712489,234.68951,117.24225,13.417278,,,
2020-01-19,0.0,0.0,9.818189,3.87182,-1.2530333,234.68951,117.24225,13.417278,,,
